"group","known","est","se","UCI","LCI"
"White",95735,98334,386.294199226664,99091,97577
"Black",8068,7737,265.177812811304,8257,7217
"Asian/PI",476,142,0.437790331843059,143,141
"Hispanic",14924,10579,296.680488032781,11161,9997
"Other",1464,1038,41.068574307294,1119,957
"Male",73250,84450,456.526248309171,85345,83555
"Female",47609,42842,571.48059771008,43962,41722
