"Run","Model","Formula","AIC","Estimate","LowerCI","UpperCI","GroundTruth","Group","Method"
1,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",128.076754627619,91.58245347366,74.205106716193,111.830737490332,123,"5","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",436.391270149887,9122.89287672249,8955.78484021781,9292.37949624994,9237,"1","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_6",206.99746825997,578.924556820364,536.280730307621,624.142912422629,518,"2","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",211.125160380868,544.826206334948,504.728361743394,587.292065783693,565,"3","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_4 + capture_2:capture_3",308.051893852449,1720.08678293777,1646.96066307038,1795.67313762319,1762,"4","Poisson"
1,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",128.076754627619,91.58245347366,74.205106716193,111.830737490332,123,"5","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",436.391270149887,9122.89287672249,8955.78484021781,9292.37949624994,9237,"1","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",209.491402850057,570.830909111608,529.357164837639,614.730743674803,518,"2","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",211.125160380868,544.826206334948,504.728361743394,587.292065783693,565,"3","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",314.806195921713,1739.49447416136,1666.79381029352,1814.59942566959,1762,"4","Poisson"
1,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",130.463887264624,96.2477392391303,79.1795514677678,115.910599052043,123,"5","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",436.391270149887,9122.89287672249,8955.78484021781,9292.37949624994,9237,"1","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",209.491402850057,570.830909111608,529.357164837639,614.730743674803,518,"2","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",211.125160380868,544.826206334948,504.728361743394,587.292065783693,565,"3","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",314.806195921713,1739.49447416136,1666.79381029352,1814.59942566959,1762,"4","Poisson"
1,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",130.463887264624,96.2477392391303,79.1795514677678,115.910599052043,123,"5","Poisson"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",436.391270149887,9122.89287672249,8955.78484021781,9292.37949624994,9237,"1","Poisson"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_6",206.99746825997,578.924556820364,536.280730307621,624.142912422629,518,"2","Poisson"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",211.125160380868,544.826206334948,504.728361743394,587.292065783693,565,"3","Poisson"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_4 + capture_2:capture_3",308.051893852449,1720.08678293777,1646.96066307038,1795.67313762319,1762,"4","Poisson"
1,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_5 + capture_2:capture_5",128.076754627619,91.58245347366,74.205106716193,111.830737490332,123,"5","Poisson"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",436.391270149887,9122.89287672249,8955.78484021781,9292.37949624994,9237,"1","Poisson"
1,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_2:capture_6",206.99746825997,578.924556820364,536.280730307621,624.142912422629,518,"2","Poisson"
