"iteration","year","sex","estimate","ui","li","N_ID","total_est","total_ui","total_li"
4,2019,"male",81367.8090860089,87483.249437499,75731.2130136229,74988,156355.809086009,162471.249437499,150719.213013623
4,2020,"male",75401.540497765,80796.7722649246,70406.9986687244,72176,147577.540497765,152972.772264925,142582.998668724
4,2021,"male",86875.2094006851,93556.5240552563,80731.9191493861,73301,160176.209400685,166857.524055256,154032.919149386
4,2015,"female",42508.0019745337,47755.5138266148,37898.5041202994,46027,88535.0019745337,93782.5138266148,83925.5041202994
4,2016,"female",46101.314590902,51686.2735215911,41192.674996512,47071,93172.314590902,98757.2735215911,88263.674996512
4,2017,"female",46216.0618992112,51746.7427267858,41338.1879685784,48862,95078.0618992112,100608.742726786,90200.1879685784
4,2018,"female",43888.6731244601,48911.7478735664,39437.3166202288,48517,92405.6731244601,97428.7478735664,87954.3166202288
4,2019,"female",42995.6564197095,48228.6300647667,38389.241354146,49059,92054.6564197095,97287.6300647667,87448.241354146
4,2020,"female",42442.8362517649,47844.7020131932,37719.1018415025,46961,89403.8362517649,94805.7020131932,84680.1018415025
4,2021,"female",45944.9474510765,52011.5919774409,40668.0539294733,47692,93636.9474510765,99703.5919774409,88360.0539294733
5,2015,"male",73104.4427384966,78732.3640243468,67920.9431751993,70188,143292.442738497,148920.364024347,138108.943175199
5,2016,"male",67802.4267262685,72540.0761276292,63407.7849385574,72772,140574.426726269,145312.076127629,136179.784938557
5,2017,"male",73869.275749172,79004.3688704353,69101.8915905152,74562,148431.275749172,153566.368870435,143663.891590515
5,2018,"male",72477.8112338358,77283.1924868131,67999.8013523133,74112,146589.811233836,151395.192486813,142111.801352313
5,2019,"male",76043.4110499956,81216.8635575435,71235.0199090178,74988,151031.411049996,156204.863557543,146223.019909018
5,2020,"male",69410.7686763382,74591.1708657401,64628.3914828804,72176,141586.768676338,146767.17086574,136804.39148288
5,2021,"male",80133.9552597962,86682.3023071378,74141.6690466834,73301,153434.955259796,159983.302307138,147442.669046683
5,2015,"female",39853.088091684,44546.5388796145,35697.7746370227,46027,85880.088091684,90573.5388796146,81724.7746370227
5,2016,"female",39233.3319029992,44183.362861317,34910.6505261548,47071,86304.3319029992,91254.362861317,81981.6505261548
5,2017,"female",41739.1424449894,46543.5563458014,37477.5149497417,48862,90601.1424449894,95405.5563458014,86339.5149497417
5,2018,"female",38161.4014243044,42701.6793808283,34157.169624337,48517,86678.4014243044,91218.6793808283,82674.169624337
5,2019,"female",39671.0574053056,44338.2746770424,35542.1976270094,49059,88730.0574053056,93397.2746770424,84601.1976270094
5,2020,"female",36227.8916434827,41171.0341199466,31947.5374350841,46961,83188.8916434827,88132.0341199466,78908.5374350841
5,2021,"female",37748.7107112296,43064.5195940128,33169.9733767673,47692,85440.7107112296,90756.5195940128,80861.9733767672
6,2015,"male",71276.9253444257,76711.2367415032,66266.7116899946,70188,141464.925344426,146899.236741503,136454.711689995
6,2016,"male",66859.554188402,71505.1904170645,62547.9983271979,72772,139631.554188402,144277.190417065,135319.998327198
6,2017,"male",73188.5495411974,78255.5000806385,68482.6417099521,74562,147750.549541197,152817.500080638,143044.641709952
6,2018,"male",69813.0736658306,74643.0066760674,65325.2088593127,74112,143925.073665831,148755.006676067,139437.208859313
6,2019,"male",74508.9313849733,79536.4495678867,69832.6859753859,74988,149496.931384973,154524.449567887,144820.685975386
6,2020,"male",67016.2168023641,71940.9230559752,62463.5491261635,72176,139192.216802364,144116.923055975,134639.549126164
6,2021,"male",77902.6502836358,84198.1600325189,72134.9922255028,73301,151203.650283636,157499.160032519,145435.992225503
6,2015,"female",35663.084594,40181.0768798222,31709.4785334851,46027,81690.084594,86208.0768798222,77736.4785334851
6,2016,"female",35935.6645536892,40313.9302508807,32091.9250546595,47071,83006.6645536892,87384.9302508807,79162.9250546595
6,2017,"female",37106.3479725628,41666.379433429,33101.1029373404,48862,85968.3479725628,90528.379433429,81963.1029373404
6,2018,"female",35658.1599997161,39779.7434448007,32008.3869421603,48517,84175.1599997161,88296.7434448007,80525.3869421603
6,2019,"female",37831.6701611353,42192.9987820774,33962.166304889,49059,86890.6701611353,91251.9987820774,83021.166304889
6,2020,"female",33590.9684818473,38022.001130413,29733.5302333287,46961,80551.9684818473,84983.001130413,76694.5302333287
6,2021,"female",34703.1038793252,39417.2615687542,30618.5781921734,47692,82395.1038793252,87109.2615687542,78310.5781921734
7,2015,"male",82149.7548285075,89417.3397745471,75548.4182470432,70188,152337.754828507,159605.339774547,145736.418247043
7,2016,"male",70811.1770290287,75846.7145816058,66147.9859674522,72772,143583.177029029,148618.714581606,138919.985967452
7,2017,"male",75994.5800566092,81344.9304205924,71033.2439102801,74562,150556.580056609,155906.930420592,145595.24391028
7,2018,"male",75432.2707387016,80530.5915700303,70689.5156465042,74112,149544.270738702,154642.59157003,144801.515646504
7,2019,"male",86912.5361368603,93627.7581116899,80740.3854333669,74988,161900.53613686,168615.75811169,155728.385433367
7,2020,"male",78305.6312779522,84009.3835045563,73034.4697780384,72176,150481.631277952,156185.383504556,145210.469778038
7,2021,"male",90003.7891745325,97037.378515675,83546.9221625863,73301,163304.789174533,170338.378515675,156847.922162586
7,2015,"female",50900.7313306815,58377.5345826808,44515.1533455808,46027,96927.7313306815,104404.534582681,90542.1533455808
7,2016,"female",51277.8204160601,57786.6033846905,45599.3246845444,47071,98348.8204160601,104857.603384691,92670.3246845444
7,2017,"female",54422.4343491116,62172.0313879395,47772.4504219122,48862,103284.434349112,111034.03138794,96634.4504219122
7,2018,"female",47952.2474117722,53659.4644445885,42923.9781849197,48517,96469.2474117722,102176.464444588,91440.9781849197
7,2019,"female",46931.3279124808,52871.8677139093,41733.1907761392,49059,95990.3279124808,101930.867713909,90792.1907761392
7,2020,"female",47407.9261894981,53748.6900081551,41906.6946120116,46961,94368.9261894981,100709.690008155,88867.6946120116
7,2021,"female",49952.8766112815,56879.5437379957,43976.4939587325,47692,97644.8766112815,104571.543737996,91668.4939587325
8,2015,"male",77064.5743335021,83120.3056908783,71499.0907465349,70188,147252.574333502,153308.305690878,141687.090746535
8,2016,"male",69776.8568698862,74709.2567169693,65206.5707338497,72772,142548.856869886,147481.256716969,137978.57073385
8,2017,"male",75271.9037520118,80548.6305163395,70376.8621065207,74562,149833.903752012,155110.630516339,144938.862106521
8,2018,"male",74430.135710924,79429.2915970003,69776.9955021222,74112,148542.135710924,153541.291597,143888.995502122
8,2019,"male",83410.5318335559,89755.7844407709,77569.5383054051,74988,158398.531833556,164743.784440771,152557.538305405
8,2020,"male",76343.1574106559,81837.6323322133,71259.555389273,72176,148519.157410656,154013.632332213,143435.555389273
8,2021,"male",87889.0995322604,94683.890409801,81644.7271052834,73301,161190.09953226,167984.890409801,154945.727105283
8,2015,"female",43749.2498175692,49217.5399170774,38955.5205148443,46027,89776.2498175692,95244.5399170774,84982.5205148443
8,2016,"female",47700.0317784489,53564.1306512308,42557.8491864135,47071,94771.0317784489,100635.130651231,89628.8491864135
8,2017,"female",47373.3004199699,53137.3533532461,42303.5979378489,48862,96235.3004199699,101999.353353246,91165.5979378489
8,2018,"female",45188.1816485405,50423.2505815595,40557.2385636025,48517,93705.1816485405,98940.2505815595,89074.2385636025
8,2019,"female",44161.8160523736,49604.5879828262,39379.8195896351,49059,93220.8160523736,98663.5879828262,88438.8195896351
8,2020,"female",43952.0414400339,49638.3657387013,38992.3491203001,46961,90913.0414400339,96599.3657387013,85953.3491203001
8,2021,"female",46894.3490303913,53195.8730106778,41428.587225927,47692,94586.3490303913,100887.873010678,89120.587225927
9,2015,"male",78124.3412414733,84296.4747320308,72455.138218259,70188,148312.341241473,154484.474732031,142643.138218259
9,2016,"male",70289.9400388738,75273.4063591706,65673.6441367612,72772,143061.940038874,148045.406359171,138445.644136761
9,2017,"male",75631.4203183149,80944.7178074023,70703.4430298076,74562,150193.420318315,155506.717807402,145265.443029808
9,2018,"male",74927.7379959627,79976.0173655241,70230.1943602439,74112,149039.737995963,154088.017365524,144342.194360244
9,2019,"male",85121.8290478032,91647.158175212,79119.5760744619,74988,160109.829047803,166635.158175212,154107.576074462
9,2020,"male",77310.8899957255,82908.1494213251,72135.1285347382,72176,149486.889995726,155084.149421325,144311.128534738
9,2021,"male",88931.5520260385,95843.7038435951,82582.7088166589,73301,162232.552026038,169144.703843595,155883.708816659
9,2015,"female",48434.7695729336,55402.5414629096,42461.7190382142,46027,94461.7695729336,101429.54146291,88488.7190382142
9,2016,"female",49420.3650959837,55590.9953596767,44022.6549544529,47071,96491.3650959837,102661.995359677,91093.6549544529
9,2017,"female",51548.4403424408,58727.3562305798,45365.3290861063,48862,100410.440342441,107589.35623058,94227.3290861063
9,2018,"female",46572.7523120151,52037.3341390543,41747.9259207999,48517,95089.752312015,100554.334139054,90264.9259207999
9,2019,"female",45495.2364854471,51175.853023633,40514.1157208548,49059,94554.2364854471,100234.853023633,89573.1157208548
9,2020,"female",45609.7083100072,51606.8540577977,40392.321680417,46961,92570.7083100072,98567.8540577977,87353.321680417
9,2021,"female",48374.5705071908,54975.378358187,42663.8152234942,47692,96066.5705071908,102667.378358187,90355.8152234942
10,2015,"male",78124.3412414733,84296.4747320308,72455.138218259,70188,148312.341241473,154484.474732031,142643.138218259
10,2016,"male",70289.9400388738,75273.4063591706,65673.6441367612,72772,143061.940038874,148045.406359171,138445.644136761
10,2017,"male",75631.4203183149,80944.7178074023,70703.4430298076,74562,150193.420318315,155506.717807402,145265.443029808
10,2018,"male",74927.7379959627,79976.0173655241,70230.1943602439,74112,149039.737995963,154088.017365524,144342.194360244
10,2019,"male",85121.8290478032,91647.158175212,79119.5760744619,74988,160109.829047803,166635.158175212,154107.576074462
10,2020,"male",77310.8899957255,82908.1494213251,72135.1285347382,72176,149486.889995726,155084.149421325,144311.128534738
10,2021,"male",88931.5520260385,95843.7038435951,82582.7088166589,73301,162232.552026038,169144.703843595,155883.708816659
10,2015,"female",48434.7695729336,55402.5414629096,42461.7190382142,46027,94461.7695729336,101429.54146291,88488.7190382142
10,2016,"female",49420.3650959837,55590.9953596767,44022.6549544529,47071,96491.3650959837,102661.995359677,91093.6549544529
10,2017,"female",51548.4403424408,58727.3562305798,45365.3290861063,48862,100410.440342441,107589.35623058,94227.3290861063
10,2018,"female",46572.7523120151,52037.3341390543,41747.9259207999,48517,95089.752312015,100554.334139054,90264.9259207999
10,2019,"female",45495.2364854471,51175.853023633,40514.1157208548,49059,94554.2364854471,100234.853023633,89573.1157208548
10,2020,"female",45609.7083100072,51606.8540577977,40392.321680417,46961,92570.7083100072,98567.8540577977,87353.321680417
10,2021,"female",48374.5705071908,54975.378358187,42663.8152234942,47692,96066.5705071908,102667.378358187,90355.8152234942
11,2015,"male",71276.9253444257,76711.2367415032,66266.7116899946,70188,141464.925344426,146899.236741503,136454.711689995
11,2016,"male",66859.554188402,71505.1904170645,62547.9983271979,72772,139631.554188402,144277.190417065,135319.998327198
11,2017,"male",73188.5495411974,78255.5000806385,68482.6417099521,74562,147750.549541197,152817.500080638,143044.641709952
11,2018,"male",69813.0736658306,74643.0066760674,65325.2088593127,74112,143925.073665831,148755.006676067,139437.208859313
11,2019,"male",74508.9313849733,79536.4495678867,69832.6859753859,74988,149496.931384973,154524.449567887,144820.685975386
11,2020,"male",67016.2168023641,71940.9230559752,62463.5491261635,72176,139192.216802364,144116.923055975,134639.549126164
11,2021,"male",77902.6502836358,84198.1600325189,72134.9922255028,73301,151203.650283636,157499.160032519,145435.992225503
11,2015,"female",35663.084594,40181.0768798222,31709.4785334851,46027,81690.084594,86208.0768798222,77736.4785334851
11,2016,"female",35935.6645536892,40313.9302508807,32091.9250546595,47071,83006.6645536892,87384.9302508807,79162.9250546595
11,2017,"female",37106.3479725628,41666.379433429,33101.1029373404,48862,85968.3479725628,90528.379433429,81963.1029373404
11,2018,"female",35658.1599997161,39779.7434448007,32008.3869421603,48517,84175.1599997161,88296.7434448007,80525.3869421603
11,2019,"female",37831.6701611353,42192.9987820774,33962.166304889,49059,86890.6701611353,91251.9987820774,83021.166304889
11,2020,"female",33590.9684818473,38022.001130413,29733.5302333287,46961,80551.9684818473,84983.001130413,76694.5302333287
11,2021,"female",34703.1038793252,39417.2615687542,30618.5781921734,47692,82395.1038793252,87109.2615687542,78310.5781921734
12,2015,"male",78124.3412414733,84296.4747320308,72455.138218259,70188,148312.341241473,154484.474732031,142643.138218259
12,2016,"male",70289.9400388738,75273.4063591706,65673.6441367612,72772,143061.940038874,148045.406359171,138445.644136761
12,2017,"male",75631.4203183149,80944.7178074023,70703.4430298076,74562,150193.420318315,155506.717807402,145265.443029808
12,2018,"male",74927.7379959627,79976.0173655241,70230.1943602439,74112,149039.737995963,154088.017365524,144342.194360244
12,2019,"male",85121.8290478032,91647.158175212,79119.5760744619,74988,160109.829047803,166635.158175212,154107.576074462
12,2020,"male",77310.8899957255,82908.1494213251,72135.1285347382,72176,149486.889995726,155084.149421325,144311.128534738
12,2021,"male",88931.5520260385,95843.7038435951,82582.7088166589,73301,162232.552026038,169144.703843595,155883.708816659
12,2015,"female",48434.7695729336,55402.5414629096,42461.7190382142,46027,94461.7695729336,101429.54146291,88488.7190382142
12,2016,"female",49420.3650959837,55590.9953596767,44022.6549544529,47071,96491.3650959837,102661.995359677,91093.6549544529
12,2017,"female",51548.4403424408,58727.3562305798,45365.3290861063,48862,100410.440342441,107589.35623058,94227.3290861063
12,2018,"female",46572.7523120151,52037.3341390543,41747.9259207999,48517,95089.752312015,100554.334139054,90264.9259207999
12,2019,"female",45495.2364854471,51175.853023633,40514.1157208548,49059,94554.2364854471,100234.853023633,89573.1157208548
12,2020,"female",45609.7083100072,51606.8540577977,40392.321680417,46961,92570.7083100072,98567.8540577977,87353.321680417
12,2021,"female",48374.5705071908,54975.378358187,42663.8152234942,47692,96066.5705071908,102667.378358187,90355.8152234942
13,2015,"male",82149.7548285075,89417.3397745471,75548.4182470432,70188,152337.754828507,159605.339774547,145736.418247043
13,2016,"male",70811.1770290287,75846.7145816058,66147.9859674522,72772,143583.177029029,148618.714581606,138919.985967452
13,2017,"male",75994.5800566092,81344.9304205924,71033.2439102801,74562,150556.580056609,155906.930420592,145595.24391028
13,2018,"male",75432.2707387016,80530.5915700303,70689.5156465042,74112,149544.270738702,154642.59157003,144801.515646504
13,2019,"male",86912.5361368603,93627.7581116899,80740.3854333669,74988,161900.53613686,168615.75811169,155728.385433367
13,2020,"male",78305.6312779522,84009.3835045563,73034.4697780384,72176,150481.631277952,156185.383504556,145210.469778038
13,2021,"male",90003.7891745325,97037.378515675,83546.9221625863,73301,163304.789174533,170338.378515675,156847.922162586
13,2015,"female",50900.7313306815,58377.5345826808,44515.1533455808,46027,96927.7313306815,104404.534582681,90542.1533455808
13,2016,"female",51277.8204160601,57786.6033846905,45599.3246845444,47071,98348.8204160601,104857.603384691,92670.3246845444
13,2017,"female",54422.4343491116,62172.0313879395,47772.4504219122,48862,103284.434349112,111034.03138794,96634.4504219122
13,2018,"female",47952.2474117722,53659.4644445885,42923.9781849197,48517,96469.2474117722,102176.464444588,91440.9781849197
13,2019,"female",46931.3279124808,52871.8677139093,41733.1907761392,49059,95990.3279124808,101930.867713909,90792.1907761392
13,2020,"female",47407.9261894981,53748.6900081551,41906.6946120116,46961,94368.9261894981,100709.690008155,88867.6946120116
13,2021,"female",49952.8766112815,56879.5437379957,43976.4939587325,47692,97644.8766112815,104571.543737996,91668.4939587325
14,2015,"male",71276.9253444257,76711.2367415032,66266.7116899946,70188,141464.925344426,146899.236741503,136454.711689995
14,2016,"male",66859.554188402,71505.1904170645,62547.9983271979,72772,139631.554188402,144277.190417065,135319.998327198
14,2017,"male",73188.5495411974,78255.5000806385,68482.6417099521,74562,147750.549541197,152817.500080638,143044.641709952
14,2018,"male",69813.0736658306,74643.0066760674,65325.2088593127,74112,143925.073665831,148755.006676067,139437.208859313
14,2019,"male",74508.9313849733,79536.4495678867,69832.6859753859,74988,149496.931384973,154524.449567887,144820.685975386
14,2020,"male",67016.2168023641,71940.9230559752,62463.5491261635,72176,139192.216802364,144116.923055975,134639.549126164
14,2021,"male",77902.6502836358,84198.1600325189,72134.9922255028,73301,151203.650283636,157499.160032519,145435.992225503
14,2015,"female",35663.084594,40181.0768798222,31709.4785334851,46027,81690.084594,86208.0768798222,77736.4785334851
14,2016,"female",35935.6645536892,40313.9302508807,32091.9250546595,47071,83006.6645536892,87384.9302508807,79162.9250546595
14,2017,"female",37106.3479725628,41666.379433429,33101.1029373404,48862,85968.3479725628,90528.379433429,81963.1029373404
14,2018,"female",35658.1599997161,39779.7434448007,32008.3869421603,48517,84175.1599997161,88296.7434448007,80525.3869421603
14,2019,"female",37831.6701611353,42192.9987820774,33962.166304889,49059,86890.6701611353,91251.9987820774,83021.166304889
14,2020,"female",33590.9684818473,38022.001130413,29733.5302333287,46961,80551.9684818473,84983.001130413,76694.5302333287
14,2021,"female",34703.1038793252,39417.2615687542,30618.5781921734,47692,82395.1038793252,87109.2615687542,78310.5781921734
15,2015,"male",71276.9253444257,76711.2367415032,66266.7116899946,70188,141464.925344426,146899.236741503,136454.711689995
15,2016,"male",66859.554188402,71505.1904170645,62547.9983271979,72772,139631.554188402,144277.190417065,135319.998327198
15,2017,"male",73188.5495411974,78255.5000806385,68482.6417099521,74562,147750.549541197,152817.500080638,143044.641709952
15,2018,"male",69813.0736658306,74643.0066760674,65325.2088593127,74112,143925.073665831,148755.006676067,139437.208859313
15,2019,"male",74508.9313849733,79536.4495678867,69832.6859753859,74988,149496.931384973,154524.449567887,144820.685975386
15,2020,"male",67016.2168023641,71940.9230559752,62463.5491261635,72176,139192.216802364,144116.923055975,134639.549126164
15,2021,"male",77902.6502836358,84198.1600325189,72134.9922255028,73301,151203.650283636,157499.160032519,145435.992225503
15,2015,"female",35663.084594,40181.0768798222,31709.4785334851,46027,81690.084594,86208.0768798222,77736.4785334851
15,2016,"female",35935.6645536892,40313.9302508807,32091.9250546595,47071,83006.6645536892,87384.9302508807,79162.9250546595
15,2017,"female",37106.3479725628,41666.379433429,33101.1029373404,48862,85968.3479725628,90528.379433429,81963.1029373404
15,2018,"female",35658.1599997161,39779.7434448007,32008.3869421603,48517,84175.1599997161,88296.7434448007,80525.3869421603
15,2019,"female",37831.6701611353,42192.9987820774,33962.166304889,49059,86890.6701611353,91251.9987820774,83021.166304889
15,2020,"female",33590.9684818473,38022.001130413,29733.5302333287,46961,80551.9684818473,84983.001130413,76694.5302333287
15,2021,"female",34703.1038793252,39417.2615687542,30618.5781921734,47692,82395.1038793252,87109.2615687542,78310.5781921734
16,2015,"male",77064.5743335021,83120.3056908783,71499.0907465349,70188,147252.574333502,153308.305690878,141687.090746535
16,2016,"male",69776.8568698862,74709.2567169693,65206.5707338497,72772,142548.856869886,147481.256716969,137978.57073385
16,2017,"male",75271.9037520118,80548.6305163395,70376.8621065207,74562,149833.903752012,155110.630516339,144938.862106521
16,2018,"male",74430.135710924,79429.2915970003,69776.9955021222,74112,148542.135710924,153541.291597,143888.995502122
16,2019,"male",83410.5318335559,89755.7844407709,77569.5383054051,74988,158398.531833556,164743.784440771,152557.538305405
16,2020,"male",76343.1574106559,81837.6323322133,71259.555389273,72176,148519.157410656,154013.632332213,143435.555389273
16,2021,"male",87889.0995322604,94683.890409801,81644.7271052834,73301,161190.09953226,167984.890409801,154945.727105283
16,2015,"female",43749.2498175692,49217.5399170774,38955.5205148443,46027,89776.2498175692,95244.5399170774,84982.5205148443
16,2016,"female",47700.0317784489,53564.1306512308,42557.8491864135,47071,94771.0317784489,100635.130651231,89628.8491864135
16,2017,"female",47373.3004199699,53137.3533532461,42303.5979378489,48862,96235.3004199699,101999.353353246,91165.5979378489
16,2018,"female",45188.1816485405,50423.2505815595,40557.2385636025,48517,93705.1816485405,98940.2505815595,89074.2385636025
16,2019,"female",44161.8160523736,49604.5879828262,39379.8195896351,49059,93220.8160523736,98663.5879828262,88438.8195896351
16,2020,"female",43952.0414400339,49638.3657387013,38992.3491203001,46961,90913.0414400339,96599.3657387013,85953.3491203001
16,2021,"female",46894.3490303913,53195.8730106778,41428.587225927,47692,94586.3490303913,100887.873010678,89120.587225927
17,2015,"male",72178.7860774377,77708.340423161,67083.2946539293,70188,142366.786077438,147896.340423161,137271.294653929
17,2016,"male",67327.4318253047,72018.6474303404,62974.7106978069,72772,140099.431825305,144790.64743034,135746.710697807
17,2017,"male",73527.2362847741,78628.0418988656,68790.780640143,74562,148089.236284774,153190.041898866,143352.780640143
17,2018,"male",72019.3288677203,76781.0761306699,67580.8858218327,74112,146131.32886772,150893.07613067,141692.885821833
17,2019,"male",75267.2744767351,80366.7337744309,70525.8677946448,74988,150255.274476735,155354.733774431,145513.867794645
17,2020,"male",68218.9456167027,73265.0599192184,63557.0026045855,72176,140394.945616703,145441.059919218,135733.002604586
17,2021,"male",79001.144542438,85420.7200149063,73123.2188030093,73301,152302.144542438,158721.720014906,146424.218803009
17,2015,"female",38676.7874966008,43181.4476832789,34681.9270320405,46027,84703.7874966008,89208.4476832789,80708.9270320405
17,2016,"female",37509.0057446235,42157.3033797943,33438.6643094585,47071,84580.0057446235,89228.3033797943,80509.6643094585
17,2017,"female",40434.7751391256,45033.5398305064,36348.5373803346,48862,89296.7751391256,93895.5398305064,85210.5373803346
17,2018,"female",36944.7283634567,41273.6769039285,33118.8477727867,48517,85461.7283634567,89790.6769039285,81635.8477727867
17,2019,"female",38722.4606122911,43231.0450637027,34727.9701101542,49059,87781.4606122911,92290.0450637027,83786.9701101542
17,2020,"female",34852.4566262463,39526.1681984589,30794.2456330867,46961,81813.4566262463,86487.1681984589,77755.2456330867
17,2021,"female",36153.8848977088,41151.7379807522,31835.8621783721,47692,83845.8848977088,88843.7379807522,79527.8621783721
18,2015,"male",84127.8712646445,91641.6163596095,77310.2059174541,70188,154315.871264644,161829.616359609,147498.205917454
18,2016,"male",73332.2060551209,79089.9808249941,68048.1345082581,72772,146104.206055121,151861.980824994,140820.134508258
18,2017,"male",76374.8255098769,81769.3462929297,71374.0776672843,74562,150936.825509877,156331.34629293,145936.077667284
18,2018,"male",77964.3690003662,83594.6054007205,72753.5343151413,74112,152076.369000366,157706.60540072,146865.534315141
18,2019,"male",88787.8244766964,95703.4903079303,82436.50239457,74988,163775.824476696,170691.49030793,157424.50239457
18,2020,"male",79328.286957419,85142.4149258906,73958.3369060815,72176,151504.286957419,157318.414925891,146134.336906082
18,2021,"male",91107.1039045621,98266.4116223257,84538.4851376343,73301,164408.103904562,171567.411622326,157839.485137634
