iteration,aic,estimate,lower_ci,upper_ci,ground,group,corr,obf,pct_diff
1,391.7620646,32.05632009,27.48092642,37.28858324,34,Asian/PI,TRUE,TRUE,5.716705605
1,551.3009378,279.3272672,258.5284226,301.6178135,264,Black,TRUE,TRUE,-5.80578304
1,599.7226644,501.3787757,472.5398949,531.7919731,497,Hispanic,TRUE,TRUE,-0.881041384
1,447.7401724,56.93947807,49.67499217,65.15057003,63,Other,TRUE,TRUE,9.619876082
1,716.2092158,4030.256493,3939.644792,4122.712077,3986,White,TRUE,TRUE,-1.110298366
1,447.7458638,15.16735505,11.71671219,19.49811279,12,1_10,TRUE,TRUE,-26.39462542
1,509.184025,123.7254532,111.1925423,137.5177283,150,11_20,TRUE,TRUE,17.51636457
1,643.9285822,1347.242747,1296.829556,1399.395961,1380,21_30,TRUE,TRUE,2.373713987
1,646.3060957,1318.589738,1269.142208,1369.747867,1399,31_40,TRUE,TRUE,5.747695629
1,619.5895394,911.6422385,870.9531841,954.0177967,961,41_50,TRUE,TRUE,5.136083402
1,617.8990829,751.3686746,714.0505366,790.4162257,774,51_60,TRUE,TRUE,2.923943847
1,555.6047368,268.8015787,249.3096957,289.640994,257,61_70,TRUE,TRUE,-4.592053955
1,445.6352223,60.1735819,53.07169116,68.09063766,56,71_80,TRUE,TRUE,-7.452824814
1,403.5076986,29.88740559,25.67647587,34.69254384,26,81_90,TRUE,TRUE,-14.95155997
1,138,1,0.490232282,1.943313425,1,91_100,TRUE,TRUE,0
1,730.8043287,4874.137607,4774.359553,4975.761044,4817,base,TRUE,TRUE,-1.186165804
2,424.3361981,34972.18545,34341.13248,35614.29923,35137,Female,FALSE,FALSE,0.469062674
2,463.4948304,53572.50832,52773.21409,54383.41221,53044,Male,FALSE,FALSE,-0.996358337
2,177.8892771,594.7378414,516.4792927,684.2122116,593,Asian/PI,FALSE,FALSE,-0.293059262
2,301.9918311,4687.187786,4440.592323,4946.701539,4816,Black,FALSE,FALSE,2.674672213
2,332.6437774,8924.552289,8587.191066,9274.752528,9025,Hispanic,FALSE,FALSE,1.112994029
2,203.3595556,1076.572052,968.1173893,1196.605154,1028,Other,FALSE,FALSE,-4.724907826
2,475.2325465,73165.02996,72237.84186,74103.60428,72852,White,FALSE,FALSE,-0.429679295
2,155.4785389,222.2611753,178.9600643,275.4648676,265,1_10,FALSE,FALSE,16.12785839
2,246.0867821,2272.287973,2111.985541,2444.245415,2413,11_20,FALSE,FALSE,5.831414293
2,399.9886189,24095.00967,23574.43804,24626.53528,24303,21_30,FALSE,FALSE,0.855821647
2,385.314641,24375.08777,23845.91053,24915.47295,23881,31_40,FALSE,FALSE,-2.068957622
2,379.0331522,16734.5455,16242.17863,17240.88156,17054,41_50,FALSE,FALSE,1.873193956
2,373.8941141,13326.96171,12942.55032,13722.24085,13618,51_60,FALSE,FALSE,2.137158798
2,288.6810444,4446.196637,4226.834916,4676.378607,4636,61_70,FALSE,FALSE,4.094119142
2,196.4931513,1224.479323,1106.598318,1354.398488,1118,71_80,FALSE,FALSE,-9.524089682
2,170.1694467,450.7962961,386.6133774,525.0042942,515,81_90,FALSE,FALSE,12.46673862
2,72.02498812,79.08971375,48.56027076,128.4696506,55,91_100,FALSE,FALSE,-43.79947954
2,486.4884677,87570.78173,86325.86414,88832.30456,87880,base,FALSE,FALSE,0.351864214
2,546.3028274,35016.0589,34381.46629,35661.83168,35045,Female,FALSE,TRUE,0.082582669
2,536.5194602,53298.57973,52515.51947,54092.78768,52703,Male,FALSE,TRUE,-1.130067989
2,212.9313351,519.8422874,453.3268276,595.5946303,571,Asian/PI,FALSE,TRUE,8.959319199
2,354.2062217,4855.042938,4619.393247,5102.21274,4812,Black,FALSE,TRUE,-0.894491641
2,416.5049718,8970.466506,8651.403033,9300.777321,8797,Hispanic,FALSE,TRUE,-1.971882523
2,259.8987053,900.1001364,807.69913,1002.509505,1036,Other,FALSE,TRUE,13.11774745
2,511.1956067,72499.17085,71583.44569,73426.09869,72813,White,FALSE,TRUE,0.431007025
2,141.9621453,208.6413808,160.0233914,270.818051,248,1_10,FALSE,TRUE,15.87041096
2,262.7761313,2604.3857,2429.305901,2791.591178,2374,11_20,FALSE,TRUE,-9.70453664
2,419.4356355,23894.55274,23375.97222,24424.09617,24307,21_30,FALSE,TRUE,1.696825014
2,424.6908016,23921.17182,23402.07397,24451.24217,24434,31_40,FALSE,TRUE,2.098830243
2,422.0278312,16958.33409,16522.13923,17405.4956,17156,41_50,FALSE,TRUE,1.152167796
2,385.1854666,13614.08617,13219.77175,14019.6145,13492,51_60,FALSE,TRUE,-0.904878261
2,328.5631828,4236.408559,4017.296985,4466.96588,4519,61_70,FALSE,TRUE,6.253406532
2,247.4251016,1163.833794,1053.006369,1285.804514,1187,71_80,FALSE,TRUE,1.951660159
2,200.0994824,542.5074616,466.2647395,630.758127,473,81_90,FALSE,TRUE,-14.6950236
2,93.69508961,85.27239751,50.97442308,142.7201641,59,91_100,FALSE,TRUE,-44.52948731
2,564.8787039,88067.90166,87059.65155,89087.29723,88213,base,FALSE,TRUE,0.164486341
2,660.8001892,1940.22476,1877.612748,2004.681943,2009,Female,TRUE,FALSE,3.423356908
2,699.8866673,2984.058151,2908.295428,3061.575696,2968,Male,TRUE,FALSE,-0.541042835
2,406.2993134,33.28334732,28.10199972,39.30280884,36,Asian/PI,TRUE,FALSE,7.546257431
2,548.5196452,259.9021233,240.4792415,280.7413511,286,Black,TRUE,FALSE,9.125131709
2,579.2680069,492.2016203,462.1617603,523.9704446,496,Hispanic,TRUE,FALSE,0.765802368
2,461.6420123,64.79049716,55.85203229,74.97630878,53,Other,TRUE,FALSE,-22.24622106
2,721.5495971,3999.942936,3912.865909,4088.743669,4109,White,TRUE,FALSE,2.654102313
2,369.4599894,16.5478722,13.04572788,20.85870776,13,1_10,TRUE,FALSE,-27.29132465
2,495.1390002,134.1294545,121.3194418,148.1540592,136,11_20,TRUE,FALSE,1.375401111
2,650.9256913,1369.904594,1318.692611,1422.882506,1273,21_30,TRUE,FALSE,-7.612301207
2,647.9925761,1347.619947,1297.21311,1399.765963,1374,31_40,TRUE,FALSE,1.919945616
2,635.4228361,931.3644254,889.9254254,974.5152486,936,41_50,TRUE,FALSE,0.495253693
2,608.691477,784.2267003,747.0375577,823.0580741,773,51_60,TRUE,FALSE,-1.452354501
2,553.7447676,247.5527152,228.5288208,267.990924,273,61_70,TRUE,FALSE,9.321349759
2,466.1830568,66.72489962,58.7570848,75.6559158,68,71_80,TRUE,FALSE,1.875147618
2,407.8392517,39.11381683,32.51296334,46.88325854,25,81_90,TRUE,FALSE,-56.45526732
2,244.2803244,2.671149248,1.796044035,3.909393352,5,91_100,TRUE,FALSE,46.57701505
2,734.8233667,4973.209035,4875.140623,5073.032654,4852,base,TRUE,FALSE,-2.4981252
2,679.8445447,1971.638641,1910.34779,2034.676783,1926,Female,TRUE,TRUE,-2.369607536
2,704.9706882,2796.91309,2725.218742,2870.284412,2966,Male,TRUE,TRUE,5.700839853
2,409.3795197,36.36255941,30.98978724,42.54514759,35,Asian/PI,TRUE,TRUE,-3.89302689
2,553.750842,261.4639345,243.3778651,280.7581915,257,Black,TRUE,TRUE,-1.736939484
