"Run","Model","Formula","AIC","Estimate","LowerCI","UpperCI","GroundTruth","Group","Method"
3,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",500.560611386652,158424.915960728,156269.612305296,160611.553142566,159756,"base","Poisson"
3,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",500.560611386652,158424.915960728,156269.612305296,160611.553142566,159756,"base","Poisson"
3,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",500.560611386652,158424.915960728,156269.612305296,160611.553142566,159756,"base","Poisson"
3,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",500.560611386652,158424.915960728,156269.612305296,160611.553142566,159756,"base","Poisson"
3,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",500.560611386652,158424.915960728,156269.612305296,160611.553142566,159756,"base","Poisson"
4,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_3:capture_6 + capture_3:capture_4 + capture_1:capture_4",494.028259962797,158472.043046718,156090.587696843,160892.27449595,158986,"base","NB"
4,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_3:capture_6 + capture_3:capture_4 + capture_1:capture_4",494.028259962797,158472.043046718,156090.587696843,160892.27449595,158986,"base","NB"
4,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",501.21070432663,157815.088477172,155675.463636979,159985.678643154,158986,"base","NB"
4,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",501.21070432663,157815.088477172,155675.463636979,159985.678643154,158986,"base","NB"
4,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_3:capture_4 + capture_1:capture_4",495.792107492685,159102.228011121,156794.801673272,161445.708361494,158986,"base","NB"
4,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_3:capture_4 + capture_1:capture_4",495.792107492685,159102.228011121,156794.801673272,161445.708361494,158986,"base","NB"
4,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_3:capture_6 + capture_3:capture_4 + capture_1:capture_4",492.014955626711,158472.20447233,156092.214258,160890.927332271,158986,"base","Poisson"
4,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_3:capture_6 + capture_3:capture_4 + capture_1:capture_4",492.014955626711,158472.20447233,156092.214258,160890.927332271,158986,"base","Poisson"
4,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",499.20244377076,157815.171470057,155677.547899423,159983.703268923,158986,"base","Poisson"
4,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",499.20244377076,157815.171470057,155677.547899423,159983.703268923,158986,"base","Poisson"
4,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_3:capture_4 + capture_1:capture_4",493.779088047101,159102.257315047,156796.361949882,161444.161944488,158986,"base","Poisson"
4,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_3:capture_4 + capture_1:capture_4",493.779088047101,159102.257315047,156796.361949882,161444.161944488,158986,"base","Poisson"
