fod,year,month,final_re,N_ID
0,2017,2,1,976
0,2017,2,2,72
0,2017,2,3,-1
0,2017,2,4,105
0,2017,2,5,-1
0,2017,3,1,923
0,2017,3,2,97
0,2017,3,3,-1
0,2017,3,4,128
0,2017,3,5,14
0,2017,4,1,979
0,2017,4,2,85
0,2017,4,3,-1
0,2017,4,4,124
0,2017,4,5,12
0,2017,5,1,1053
0,2017,5,2,83
0,2017,5,3,-1
0,2017,5,4,148
0,2017,5,5,16
0,2017,6,1,1147
0,2017,6,2,82
0,2017,6,3,-1
0,2017,6,4,163
0,2017,6,5,17
0,2017,7,1,1249
0,2017,7,2,78
0,2017,7,3,-1
0,2017,7,4,169
0,2017,7,5,12
0,2017,8,1,1350
0,2017,8,2,158
0,2017,8,3,-1
0,2017,8,4,208
0,2017,8,5,12
0,2017,9,1,1301
0,2017,9,2,128
0,2017,9,3,11
0,2017,9,4,197
0,2017,9,5,-1
0,2017,10,1,1103
0,2017,10,2,90
0,2017,10,3,-1
0,2017,10,4,145
0,2017,10,5,12
0,2017,11,1,1058
0,2017,11,2,98
0,2017,11,3,-1
0,2017,11,4,146
0,2017,11,5,11
0,2017,12,1,1117
0,2017,12,2,92
0,2017,12,3,-1
0,2017,12,4,157
0,2017,12,5,13
0,2018,1,1,937
0,2018,1,2,75
0,2018,1,3,-1
0,2018,1,4,148
0,2018,1,5,-1
0,2018,2,1,916
0,2018,2,2,71
0,2018,2,3,-1
0,2018,2,4,165
0,2018,2,5,13
0,2018,3,1,1020
0,2018,3,2,88
0,2018,3,3,-1
0,2018,3,4,181
0,2018,3,5,11
0,2018,4,1,1015
0,2018,4,2,94
0,2018,4,3,-1
0,2018,4,4,151
0,2018,4,5,16
0,2018,5,1,1175
0,2018,5,2,115
0,2018,5,3,-1
0,2018,5,4,203
0,2018,5,5,17
0,2018,6,1,1198
0,2018,6,2,103
0,2018,6,3,-1
0,2018,6,4,204
0,2018,6,5,16
0,2018,7,1,1167
0,2018,7,2,98
0,2018,7,3,-1
0,2018,7,4,182
0,2018,7,5,14
0,2018,8,1,1190
0,2018,8,2,112
0,2018,8,3,-1
0,2018,8,4,170
0,2018,8,5,15
0,2018,9,1,964
0,2018,9,2,89
0,2018,9,3,-1
0,2018,9,4,159
0,2018,9,5,13
0,2018,10,1,940
0,2018,10,2,103
0,2018,10,3,-1
0,2018,10,4,151
0,2018,10,5,-1
0,2018,11,1,920
0,2018,11,2,100
0,2018,11,3,-1
0,2018,11,4,163
0,2018,11,5,17
0,2018,12,1,947
0,2018,12,2,89
0,2018,12,3,-1
0,2018,12,4,182
0,2018,12,5,11
0,2019,1,1,873
0,2019,1,2,95
0,2019,1,3,-1
0,2019,1,4,162
0,2019,1,5,13
0,2019,2,1,848
0,2019,2,2,85
0,2019,2,3,-1
0,2019,2,4,145
0,2019,2,5,-1
0,2019,3,1,928
0,2019,3,2,100
0,2019,3,3,-1
0,2019,3,4,189
0,2019,3,5,-1
0,2019,4,1,884
0,2019,4,2,110
0,2019,4,3,-1
0,2019,4,4,167
0,2019,4,5,12
0,2019,5,1,986
0,2019,5,2,117
0,2019,5,3,13
0,2019,5,4,182
0,2019,5,5,-1
0,2019,6,1,991
0,2019,6,2,110
0,2019,6,3,-1
0,2019,6,4,191
0,2019,6,5,18
0,2019,7,1,957
0,2019,7,2,112
0,2019,7,3,-1
0,2019,7,4,176
0,2019,7,5,13
0,2019,8,1,1002
0,2019,8,2,126
0,2019,8,3,-1
0,2019,8,4,196
0,2019,8,5,17
