Casemix,APCD,BSAS,PMP,Matris,Death,year,N_ID
0,1,1,0,0,0,2021,8187
0,1,1,0,0,1,2015,79
0,1,1,0,0,1,2016,111
0,1,1,0,0,1,2017,75
0,1,1,0,0,1,2018,70
0,1,1,0,0,1,2019,98
0,1,1,0,0,1,2020,60
0,1,1,0,0,1,2021,64
0,1,1,0,1,0,2015,794
0,1,1,0,1,0,2016,793
0,1,1,0,1,0,2017,963
0,1,1,0,1,0,2018,868
0,1,1,0,1,0,2019,777
0,1,1,0,1,0,2020,842
0,1,1,0,1,0,2021,983
0,1,1,0,1,1,2015,40
0,1,1,0,1,1,2016,40
0,1,1,0,1,1,2017,49
0,1,1,0,1,1,2018,53
0,1,1,0,1,1,2019,29
0,1,1,0,1,1,2020,44
0,1,1,0,1,1,2021,38
0,1,1,1,0,0,2015,5875
0,1,1,1,0,0,2016,6642
0,1,1,1,0,0,2017,6798
0,1,1,1,0,0,2018,7326
0,1,1,1,0,0,2019,7950
0,1,1,1,0,0,2020,7061
0,1,1,1,0,0,2021,6442
0,1,1,1,0,1,2015,21
0,1,1,1,0,1,2016,41
0,1,1,1,0,1,2017,33
0,1,1,1,0,1,2018,30
0,1,1,1,0,1,2019,45
0,1,1,1,0,1,2020,46
0,1,1,1,0,1,2021,52
0,1,1,1,1,0,2015,392
0,1,1,1,1,0,2016,538
0,1,1,1,1,0,2017,697
0,1,1,1,1,0,2018,828
0,1,1,1,1,0,2019,923
0,1,1,1,1,0,2020,947
0,1,1,1,1,0,2021,1027
0,1,1,1,1,1,2015,13
0,1,1,1,1,1,2016,14
0,1,1,1,1,1,2017,30
0,1,1,1,1,1,2018,23
0,1,1,1,1,1,2019,35
0,1,1,1,1,1,2020,31
0,1,1,1,1,1,2021,35
1,0,0,0,0,0,2015,840
1,0,0,0,0,0,2016,914
1,0,0,0,0,0,2017,718
1,0,0,0,0,0,2018,743
1,0,0,0,0,0,2019,576
1,0,0,0,0,0,2020,448
1,0,0,0,0,0,2021,379
1,0,0,0,0,1,2015,-1
1,0,0,0,0,1,2016,-1
1,0,0,0,0,1,2017,-1
1,0,0,0,0,1,2018,-1
1,0,0,0,0,1,2019,-1
1,0,0,0,0,1,2020,-1
1,0,0,0,0,1,2021,-1
1,0,0,0,1,0,2015,297
1,0,0,0,1,0,2016,286
1,0,0,0,1,0,2017,410
1,0,0,0,1,0,2018,491
1,0,0,0,1,0,2019,360
1,0,0,0,1,0,2020,331
1,0,0,0,1,0,2021,215
1,0,0,0,1,1,2015,12
1,0,0,0,1,1,2016,19
1,0,0,0,1,1,2017,13
1,0,0,0,1,1,2018,16
1,0,0,0,1,1,2019,14
1,0,0,0,1,1,2020,-1
1,0,0,0,1,1,2021,-1
1,0,0,1,0,0,2015,33
1,0,0,1,0,0,2016,64
1,0,0,1,0,0,2017,41
1,0,0,1,0,0,2018,53
1,0,0,1,0,0,2019,37
1,0,0,1,0,0,2020,39
1,0,0,1,0,0,2021,46
1,0,0,1,0,1,2018,-1
1,0,0,1,0,1,2020,-1
1,0,0,1,1,0,2015,-1
1,0,0,1,1,0,2016,32
1,0,0,1,1,0,2017,51
1,0,0,1,1,0,2018,61
1,0,0,1,1,0,2019,53
1,0,0,1,1,0,2020,57
1,0,0,1,1,0,2021,26
1,0,0,1,1,1,2016,-1
1,0,0,1,1,1,2017,-1
